novo_nome,Imagem,Qualidade_Total,seq,left_path,right_path
img_0001.png,img_23.png,1360.3864,seq02,C:\Venv\Robot_project\robot-project\vision-stereo-studies\camera_project\datasets\images\seq02\left\img_23.png,C:\Venv\Robot_project\robot-project\vision-stereo-studies\camera_project\datasets\images\seq02\right\img_23.png
img_0002.png,img_48.png,1327.59,seq02,C:\Venv\Robot_project\robot-project\vision-stereo-studies\camera_project\datasets\images\seq02\left\img_48.png,C:\Venv\Robot_project\robot-project\vision-stereo-studies\camera_project\datasets\images\seq02\right\img_48.png
img_0003.png,img_47.png,1318.3159,seq01,C:\Venv\Robot_project\robot-project\vision-stereo-studies\camera_project\datasets\images\seq01\left\img_47.png,C:\Venv\Robot_project\robot-project\vision-stereo-studies\camera_project\datasets\images\seq01\right\img_47.png
img_0004.png,img_19.png,1317.7942,seq01,C:\Venv\Robot_project\robot-project\vision-stereo-studies\camera_project\datasets\images\seq01\left\img_19.png,C:\Venv\Robot_project\robot-project\vision-stereo-studies\camera_project\datasets\images\seq01\right\img_19.png
img_0005.png,img_47.png,1315.2495,seq02,C:\Venv\Robot_project\robot-project\vision-stereo-studies\camera_project\datasets\images\seq02\left\img_47.png,C:\Venv\Robot_project\robot-project\vision-stereo-studies\camera_project\datasets\images\seq02\right\img_47.png
img_0006.png,img_20.png,1300.0735,seq01,C:\Venv\Robot_project\robot-project\vision-stereo-studies\camera_project\datasets\images\seq01\left\img_20.png,C:\Venv\Robot_project\robot-project\vision-stereo-studies\camera_project\datasets\images\seq01\right\img_20.png
img_0007.png,img_19.png,1297.9673,seq02,C:\Venv\Robot_project\robot-project\vision-stereo-studies\camera_project\datasets\images\seq02\left\img_19.png,C:\Venv\Robot_project\robot-project\vision-stereo-studies\camera_project\datasets\images\seq02\right\img_19.png
img_0008.png,img_13.png,1294.6995,seq02,C:\Venv\Robot_project\robot-project\vision-stereo-studies\camera_project\datasets\images\seq02\left\img_13.png,C:\Venv\Robot_project\robot-project\vision-stereo-studies\camera_project\datasets\images\seq02\right\img_13.png
img_0009.png,img_17.png,1294.5562,seq02,C:\Venv\Robot_project\robot-project\vision-stereo-studies\camera_project\datasets\images\seq02\left\img_17.png,C:\Venv\Robot_project\robot-project\vision-stereo-studies\camera_project\datasets\images\seq02\right\img_17.png
img_0010.png,img_23.png,1294.5496,seq01,C:\Venv\Robot_project\robot-project\vision-stereo-studies\camera_project\datasets\images\seq01\left\img_23.png,C:\Venv\Robot_project\robot-project\vision-stereo-studies\camera_project\datasets\images\seq01\right\img_23.png
img_0011.png,img_09.png,1293.9893,seq02,C:\Venv\Robot_project\robot-project\vision-stereo-studies\camera_project\datasets\images\seq02\left\img_09.png,C:\Venv\Robot_project\robot-project\vision-stereo-studies\camera_project\datasets\images\seq02\right\img_09.png
img_0012.png,img_04.png,1292.186,seq02,C:\Venv\Robot_project\robot-project\vision-stereo-studies\camera_project\datasets\images\seq02\left\img_04.png,C:\Venv\Robot_project\robot-project\vision-stereo-studies\camera_project\datasets\images\seq02\right\img_04.png
img_0013.png,img_35.png,1291.5986,seq01,C:\Venv\Robot_project\robot-project\vision-stereo-studies\camera_project\datasets\images\seq01\left\img_35.png,C:\Venv\Robot_project\robot-project\vision-stereo-studies\camera_project\datasets\images\seq01\right\img_35.png
img_0014.png,img_05.png,1291.0404,seq02,C:\Venv\Robot_project\robot-project\vision-stereo-studies\camera_project\datasets\images\seq02\left\img_05.png,C:\Venv\Robot_project\robot-project\vision-stereo-studies\camera_project\datasets\images\seq02\right\img_05.png
img_0015.png,img_22.png,1289.6996,seq02,C:\Venv\Robot_project\robot-project\vision-stereo-studies\camera_project\datasets\images\seq02\left\img_22.png,C:\Venv\Robot_project\robot-project\vision-stereo-studies\camera_project\datasets\images\seq02\right\img_22.png
img_0016.png,img_03.png,1288.8418,seq02,C:\Venv\Robot_project\robot-project\vision-stereo-studies\camera_project\datasets\images\seq02\left\img_03.png,C:\Venv\Robot_project\robot-project\vision-stereo-studies\camera_project\datasets\images\seq02\right\img_03.png
img_0017.png,img_33.png,1288.3789,seq01,C:\Venv\Robot_project\robot-project\vision-stereo-studies\camera_project\datasets\images\seq01\left\img_33.png,C:\Venv\Robot_project\robot-project\vision-stereo-studies\camera_project\datasets\images\seq01\right\img_33.png
img_0018.png,img_43.png,1285.8943,seq01,C:\Venv\Robot_project\robot-project\vision-stereo-studies\camera_project\datasets\images\seq01\left\img_43.png,C:\Venv\Robot_project\robot-project\vision-stereo-studies\camera_project\datasets\images\seq01\right\img_43.png
img_0019.png,img_41.png,1283.6503,seq01,C:\Venv\Robot_project\robot-project\vision-stereo-studies\camera_project\datasets\images\seq01\left\img_41.png,C:\Venv\Robot_project\robot-project\vision-stereo-studies\camera_project\datasets\images\seq01\right\img_41.png
img_0020.png,img_27.png,1279.9587,seq02,C:\Venv\Robot_project\robot-project\vision-stereo-studies\camera_project\datasets\images\seq02\left\img_27.png,C:\Venv\Robot_project\robot-project\vision-stereo-studies\camera_project\datasets\images\seq02\right\img_27.png
img_0021.png,img_12.png,1278.0945,seq02,C:\Venv\Robot_project\robot-project\vision-stereo-studies\camera_project\datasets\images\seq02\left\img_12.png,C:\Venv\Robot_project\robot-project\vision-stereo-studies\camera_project\datasets\images\seq02\right\img_12.png
img_0022.png,img_34.png,1277.4664,seq01,C:\Venv\Robot_project\robot-project\vision-stereo-studies\camera_project\datasets\images\seq01\left\img_34.png,C:\Venv\Robot_project\robot-project\vision-stereo-studies\camera_project\datasets\images\seq01\right\img_34.png
img_0023.png,img_32.png,1276.4741,seq01,C:\Venv\Robot_project\robot-project\vision-stereo-studies\camera_project\datasets\images\seq01\left\img_32.png,C:\Venv\Robot_project\robot-project\vision-stereo-studies\camera_project\datasets\images\seq01\right\img_32.png
img_0024.png,img_46.png,1275.3403,seq01,C:\Venv\Robot_project\robot-project\vision-stereo-studies\camera_project\datasets\images\seq01\left\img_46.png,C:\Venv\Robot_project\robot-project\vision-stereo-studies\camera_project\datasets\images\seq01\right\img_46.png
img_0025.png,img_18.png,1275.1632,seq02,C:\Venv\Robot_project\robot-project\vision-stereo-studies\camera_project\datasets\images\seq02\left\img_18.png,C:\Venv\Robot_project\robot-project\vision-stereo-studies\camera_project\datasets\images\seq02\right\img_18.png
img_0026.png,img_48.png,1274.0065,seq01,C:\Venv\Robot_project\robot-project\vision-stereo-studies\camera_project\datasets\images\seq01\left\img_48.png,C:\Venv\Robot_project\robot-project\vision-stereo-studies\camera_project\datasets\images\seq01\right\img_48.png
img_0027.png,img_28.png,1270.3313,seq01,C:\Venv\Robot_project\robot-project\vision-stereo-studies\camera_project\datasets\images\seq01\left\img_28.png,C:\Venv\Robot_project\robot-project\vision-stereo-studies\camera_project\datasets\images\seq01\right\img_28.png
img_0028.png,img_24.png,1263.9424,seq01,C:\Venv\Robot_project\robot-project\vision-stereo-studies\camera_project\datasets\images\seq01\left\img_24.png,C:\Venv\Robot_project\robot-project\vision-stereo-studies\camera_project\datasets\images\seq01\right\img_24.png
img_0029.png,img_14.png,1259.8909,seq02,C:\Venv\Robot_project\robot-project\vision-stereo-studies\camera_project\datasets\images\seq02\left\img_14.png,C:\Venv\Robot_project\robot-project\vision-stereo-studies\camera_project\datasets\images\seq02\right\img_14.png
img_0030.png,img_42.png,1258.4817,seq01,C:\Venv\Robot_project\robot-project\vision-stereo-studies\camera_project\datasets\images\seq01\left\img_42.png,C:\Venv\Robot_project\robot-project\vision-stereo-studies\camera_project\datasets\images\seq01\right\img_42.png
img_0031.png,img_21.png,1255.5354,seq01,C:\Venv\Robot_project\robot-project\vision-stereo-studies\camera_project\datasets\images\seq01\left\img_21.png,C:\Venv\Robot_project\robot-project\vision-stereo-studies\camera_project\datasets\images\seq01\right\img_21.png
img_0032.png,img_21.png,1253.8893,seq02,C:\Venv\Robot_project\robot-project\vision-stereo-studies\camera_project\datasets\images\seq02\left\img_21.png,C:\Venv\Robot_project\robot-project\vision-stereo-studies\camera_project\datasets\images\seq02\right\img_21.png
img_0033.png,img_22.png,1250.277,seq01,C:\Venv\Robot_project\robot-project\vision-stereo-studies\camera_project\datasets\images\seq01\left\img_22.png,C:\Venv\Robot_project\robot-project\vision-stereo-studies\camera_project\datasets\images\seq01\right\img_22.png
img_0034.png,img_44.png,1248.7549,seq01,C:\Venv\Robot_project\robot-project\vision-stereo-studies\camera_project\datasets\images\seq01\left\img_44.png,C:\Venv\Robot_project\robot-project\vision-stereo-studies\camera_project\datasets\images\seq01\right\img_44.png
img_0035.png,img_25.png,1246.463,seq02,C:\Venv\Robot_project\robot-project\vision-stereo-studies\camera_project\datasets\images\seq02\left\img_25.png,C:\Venv\Robot_project\robot-project\vision-stereo-studies\camera_project\datasets\images\seq02\right\img_25.png
img_0036.png,img_35.png,1245.427,seq02,C:\Venv\Robot_project\robot-project\vision-stereo-studies\camera_project\datasets\images\seq02\left\img_35.png,C:\Venv\Robot_project\robot-project\vision-stereo-studies\camera_project\datasets\images\seq02\right\img_35.png
img_0037.png,img_11.png,1243.2751,seq02,C:\Venv\Robot_project\robot-project\vision-stereo-studies\camera_project\datasets\images\seq02\left\img_11.png,C:\Venv\Robot_project\robot-project\vision-stereo-studies\camera_project\datasets\images\seq02\right\img_11.png
img_0038.png,img_26.png,1241.2045,seq01,C:\Venv\Robot_project\robot-project\vision-stereo-studies\camera_project\datasets\images\seq01\left\img_26.png,C:\Venv\Robot_project\robot-project\vision-stereo-studies\camera_project\datasets\images\seq01\right\img_26.png
img_0039.png,img_02.png,1241.0845,seq01,C:\Venv\Robot_project\robot-project\vision-stereo-studies\camera_project\datasets\images\seq01\left\img_02.png,C:\Venv\Robot_project\robot-project\vision-stereo-studies\camera_project\datasets\images\seq01\right\img_02.png
img_0040.png,img_27.png,1239.9337,seq01,C:\Venv\Robot_project\robot-project\vision-stereo-studies\camera_project\datasets\images\seq01\left\img_27.png,C:\Venv\Robot_project\robot-project\vision-stereo-studies\camera_project\datasets\images\seq01\right\img_27.png
img_0041.png,img_10.png,1239.0161,seq02,C:\Venv\Robot_project\robot-project\vision-stereo-studies\camera_project\datasets\images\seq02\left\img_10.png,C:\Venv\Robot_project\robot-project\vision-stereo-studies\camera_project\datasets\images\seq02\right\img_10.png
img_0042.png,img_06.png,1232.1211,seq01,C:\Venv\Robot_project\robot-project\vision-stereo-studies\camera_project\datasets\images\seq01\left\img_06.png,C:\Venv\Robot_project\robot-project\vision-stereo-studies\camera_project\datasets\images\seq01\right\img_06.png
img_0043.png,img_20.png,1231.958,seq02,C:\Venv\Robot_project\robot-project\vision-stereo-studies\camera_project\datasets\images\seq02\left\img_20.png,C:\Venv\Robot_project\robot-project\vision-stereo-studies\camera_project\datasets\images\seq02\right\img_20.png
img_0044.png,img_24.png,1231.4153,seq02,C:\Venv\Robot_project\robot-project\vision-stereo-studies\camera_project\datasets\images\seq02\left\img_24.png,C:\Venv\Robot_project\robot-project\vision-stereo-studies\camera_project\datasets\images\seq02\right\img_24.png
img_0045.png,img_45.png,1230.435,seq01,C:\Venv\Robot_project\robot-project\vision-stereo-studies\camera_project\datasets\images\seq01\left\img_45.png,C:\Venv\Robot_project\robot-project\vision-stereo-studies\camera_project\datasets\images\seq01\right\img_45.png
img_0046.png,img_29.png,1229.4492,seq01,C:\Venv\Robot_project\robot-project\vision-stereo-studies\camera_project\datasets\images\seq01\left\img_29.png,C:\Venv\Robot_project\robot-project\vision-stereo-studies\camera_project\datasets\images\seq01\right\img_29.png
img_0047.png,img_31.png,1222.4708,seq02,C:\Venv\Robot_project\robot-project\vision-stereo-studies\camera_project\datasets\images\seq02\left\img_31.png,C:\Venv\Robot_project\robot-project\vision-stereo-studies\camera_project\datasets\images\seq02\right\img_31.png
img_0048.png,img_38.png,1221.9575,seq02,C:\Venv\Robot_project\robot-project\vision-stereo-studies\camera_project\datasets\images\seq02\left\img_38.png,C:\Venv\Robot_project\robot-project\vision-stereo-studies\camera_project\datasets\images\seq02\right\img_38.png
img_0049.png,img_15.png,1221.199,seq02,C:\Venv\Robot_project\robot-project\vision-stereo-studies\camera_project\datasets\images\seq02\left\img_15.png,C:\Venv\Robot_project\robot-project\vision-stereo-studies\camera_project\datasets\images\seq02\right\img_15.png
img_0050.png,img_38.png,1219.5952,seq01,C:\Venv\Robot_project\robot-project\vision-stereo-studies\camera_project\datasets\images\seq01\left\img_38.png,C:\Venv\Robot_project\robot-project\vision-stereo-studies\camera_project\datasets\images\seq01\right\img_38.png
img_0051.png,img_34.png,1215.9077,seq02,C:\Venv\Robot_project\robot-project\vision-stereo-studies\camera_project\datasets\images\seq02\left\img_34.png,C:\Venv\Robot_project\robot-project\vision-stereo-studies\camera_project\datasets\images\seq02\right\img_34.png
img_0052.png,img_46.png,1213.4753,seq02,C:\Venv\Robot_project\robot-project\vision-stereo-studies\camera_project\datasets\images\seq02\left\img_46.png,C:\Venv\Robot_project\robot-project\vision-stereo-studies\camera_project\datasets\images\seq02\right\img_46.png
img_0053.png,img_08.png,1211.0021,seq01,C:\Venv\Robot_project\robot-project\vision-stereo-studies\camera_project\datasets\images\seq01\left\img_08.png,C:\Venv\Robot_project\robot-project\vision-stereo-studies\camera_project\datasets\images\seq01\right\img_08.png
img_0054.png,img_28.png,1210.0884,seq02,C:\Venv\Robot_project\robot-project\vision-stereo-studies\camera_project\datasets\images\seq02\left\img_28.png,C:\Venv\Robot_project\robot-project\vision-stereo-studies\camera_project\datasets\images\seq02\right\img_28.png
img_0055.png,img_49.png,1207.6638,seq02,C:\Venv\Robot_project\robot-project\vision-stereo-studies\camera_project\datasets\images\seq02\left\img_49.png,C:\Venv\Robot_project\robot-project\vision-stereo-studies\camera_project\datasets\images\seq02\right\img_49.png
img_0056.png,img_03.png,1207.1664,seq01,C:\Venv\Robot_project\robot-project\vision-stereo-studies\camera_project\datasets\images\seq01\left\img_03.png,C:\Venv\Robot_project\robot-project\vision-stereo-studies\camera_project\datasets\images\seq01\right\img_03.png
img_0057.png,img_32.png,1202.8567,seq02,C:\Venv\Robot_project\robot-project\vision-stereo-studies\camera_project\datasets\images\seq02\left\img_32.png,C:\Venv\Robot_project\robot-project\vision-stereo-studies\camera_project\datasets\images\seq02\right\img_32.png
img_0058.png,img_07.png,1200.7965,seq01,C:\Venv\Robot_project\robot-project\vision-stereo-studies\camera_project\datasets\images\seq01\left\img_07.png,C:\Venv\Robot_project\robot-project\vision-stereo-studies\camera_project\datasets\images\seq01\right\img_07.png
img_0059.png,img_04.png,1195.0952,seq01,C:\Venv\Robot_project\robot-project\vision-stereo-studies\camera_project\datasets\images\seq01\left\img_04.png,C:\Venv\Robot_project\robot-project\vision-stereo-studies\camera_project\datasets\images\seq01\right\img_04.png
img_0060.png,img_25.png,1188.6985,seq01,C:\Venv\Robot_project\robot-project\vision-stereo-studies\camera_project\datasets\images\seq01\left\img_25.png,C:\Venv\Robot_project\robot-project\vision-stereo-studies\camera_project\datasets\images\seq01\right\img_25.png
